12135      accdbcebdacc 
11792      ddadccdbbacd 
40016      acdabaeadacd 
655        acdcccecbaca 
31140      eccdbcebbacb 
40513      adddbcebbacc 
1042       acdcbcebbacd 
975                     
41771      acddbcebbacc 
50088      cbbdacebbdab 
30858      acddbcebbacc 
20603      acdddcedbdac 
12052      dcddbcecbacd 
10108      abddccdacacb 
70183      ecdcddebbaac 
508        dcdcccdbbabb 
10974      ecdcbcebbcac 
42125      aaddccedbaab 
452        acdabcebbacc 
50321      dabcMcebdaca 
30782      acddbcebbacc 
20290      ecabbdebbacc 
21041      ecdddcebbacc 
50665      acdddcebbacc 
51136      ebbMMcebdadb 
20230      ecbdbcdbbadc 
40814      acddbceabacd 
22332      aaddbcebbdcc 
41868      acddccebbacc 
10272      acddbbebbaad 
11693      ecddbcebbbcc 
41952      acdddcebddcc 
30790      ecdaccecbbcd 
10897      dabacdabadcb 
898        eadbbbebbbcd 
21390      ecdbbddddMcc 
20262      acdaccebdacc 
10328      daacbdecbccc 
40451      ecddaceababc 
578        acddbcebbacc 
21367      bacccceabacM 
40532      acdddceabacc 
730        abddbcbbbacc 
1065       bcaddcdcdaac 
30260      abddbcebbacc 
40024      acadbcebbacc 
11544      ecdcdcdddaaa 
30091      abddbcebbacb 
20811      edacdedacaab 
21046      dddcbcebdacb 
2142       cbdcbcebabaa 
41686      abddbcebbaac 
50662      acdddcMbbacc 
612        acddbcebbacd 
21051      ebdbbcebddcc 
11890      bcddbdebbacc 
20776      acdabcdbbacd 
30424      acddccebbacc 
30117      ecdcdcebbacc 
42190      ebdcbcebbacb 
31522      dcdabcebbbcd 
41036      acdabcedbacb 
22360      acadcMebdacc 
21108      ddddbdedbacb 
20380      ecdaceebddcc 
41712      ebabbbebbada 
11237      acbabcebbaac 
41679      acddbdbbbacc 
20201      aaddcecbdacc 
70425      acdcMcebbaac 
30257      dcddacdbbacb 
60299      acddbccbbacc 
41155      abMaadedbdca 
1917       dcddccebbbcc 
70134      acddccebbacc 
20291      acdcdcebbbcc 
32021      acddbbebbacc 
12189      dcMddeebbdca 
1347       adddbcebbaac 
70080      bbbdaddbbadb 
30286      bcdcbcdbbacc 
11913      accdacedbacc 
31952      cbbbbbcddacb 
10225      abddccebbacb 
70230      acddbcebbdca 
41794      ccddccebbbcc 
21813      ecdcbcebbacb 
1920       addabcebbacc 
40026      abadccdcbacb 
41558      acddbcebbdcc 
1192       ebddbedbbaad 
70283      acddccebbacc 
40926      aadcacdbbaad 
31650      acdddcebbbcc 
11264      ecaaccebbacd 
11915      acdabcebbacc 
